Id,Name,Category,TimelineState,EventDate,CreatedAt,Tags,Metadata,UserInput,UserExperience,PhotoRefs
00319c01-bfe6-4849-bfe3-8f9956b6079b,Twelve Apostles,Restaurant,Present,23-03-2026,23-03-2026,pizza,Info=|City=Frankfurt|Country=Germany|Region=Hesse,"the restaurant 'Twelve Apostles' in Frankfurt Ginnheim, great pizza place",great,Photos/TwelveApostles-Restaurant.jpg
f3dba7d3-ea99-4920-ba53-7f679014801e,Vapiano,Restaurant,Future,30-03-2026,23-03-2026,italian food;frankfurt,Info=|City=Frankfurt|Country=Germany|Region=Hesse,Vapiano in Frankfurt city center serves good italian food,good,Photos/Vapiano-Restaurant.jpg
833ac831-196c-490b-a156-c6faad9978d5,Sarvana Bhavan,Restaurant,Present,23-03-2026,23-03-2026,Indian food;Frankfurt,Info=|City=Frankfurt|Country=Germany|Region=Hesse,"Remind me of 'Sarvana Bhavan' at Konstabelwache Frankfurt, tasty Indian food tonight",tasty,Photos/saravanna-bhavan.jpg
d50608d9-a8c3-4df7-9577-db58cf24e018,Sakura,Restaurant,Present,23-03-2026,23-03-2026,sushi;fresh fish,Info=|City=Berlin|Country=Germany|Region=Berlin,"sushi place ""Sakura"" in Berlin Mitte, wonderful fresh fish",wonderful,Photos/Sakura-Restaurant.jpg
e5dc72a4-302f-41e9-bab5-7c311b7eeb5c,Losteria,Restaurant,Future,24-03-2026,23-03-2026,pizza;restaurant,Info=|City=Berlin|Country=Germany|Region=Berlin,"Visiting ""Losteria"" near Konstabelwache Berlin tomorrow, delicious pizza",delicious,
69d8a99a-320c-4b57-9c89-f07e4b821aed,Block House,Restaurant,Past,9/3/2026,23-03-2026,steak;restaurant;Hamburg;German food,Info=|City=Hamburg|Country=Germany|Region=Hamburg,"Visited steakhouse ""Block House"" in Hamburg on 9th March, excellent steak dinner",excellent,
1d2784a9-1933-4094-b9c4-8f9f4c11cc8c,Einstein Stammcafé,Restaurant,Present,23-03-2026,23-03-2026,viennese;coffee;house;Berlin,Info=|City=Berlin|Country=Germany|Region=Berlin,"cafè 'Einstein Stammcafé' in Berlin, cozy viennese coffee house",cozy,
98777479-97c8-4433-a319-b83126db5fe5,Café Metropol,Restaurant,Present,23-03-2026,23-03-2026,brunch;breakfast;frankfurt;cozy,Info=|City=Frankfurt|Country=Germany|Region=Hesse,"Save the breakfast place ""Café Metropol"" in Frankfurt Sachsenhausen, lovely brunch spot.",lovely,
207b2246-aac0-452b-9137-e7330df10af3,25hours Hotel,Restaurant,Present,23-03-2026,23-03-2026,city views;rooftop;bar;frankfurt,Info=|City=Frankfurt|Country=Germany|Region=Hesse,"rooftop bar ""25hours Hotel"" in Frankfurt, stunning city views",stunning,
f5d0e8c9-09ff-46d6-94c4-27a33baca61c,Hans im Glück,Restaurant,Present,23-03-2026,23-03-2026,burgers;food;germany;stuttgart,Info=|City=Stuttgart|Country=Germany|Region=Baden-Württemberg,"the burger joint ""Hans im Glück"" in Stuttgart city center, creative burgers",creative,
c27273ab-1f4e-4367-9f24-8b806f44ec76,Pho 54,Restaurant,Present,23-03-2026,23-03-2026,vietnamese;frankfurt;pho;restaurant,Info=|City=Frankfurt|Country=Germany|Region=Hesse,"Save the vietnamese place ""Pho 54"" in Frankfurt Bornheim, great pho soup",great,
588989fc-65e5-4dfd-8f62-578a49114a4a,Lofoten Islands,Travel,Present,23-03-2026,23-03-2026,travel;norway;northern lights,Info=|City=Lofoten Islands|Country=Norway,"travel destination ""Lofoten Islands"" Norway, stunning northern lights trip",stunning,
19c74604-079a-4dd3-bae6-284ab3647c22,Route 66,Travel,Present,23-03-2026,23-03-2026,road trip;usa;adventure,Info=,"road trip idea ""Route 66"" USA, classic american adventure",classic,
e5e90e9d-a1ae-4f60-8513-ce030f77f0c5,Boiler Room Berlin Session,Playlist,Present,23-03-2026,23-03-2026,techno;music;playlist,Info=|City=Berlin|Country=Germany|Region=Berlin,"Listening to the playlist ""Boiler Room Berlin Session"" right now, incredible techno set",incredible,
b33d8d84-b084-4e9b-8205-f740c0e9c353,Clean Architecture,Book,Present,23-03-2026,23-03-2026,reading;book;architecture;software development,Info=Author: Robert C. Martin,"Reading ""Clean Architecture"" by Robert C. Martin today, great follow up to Clean Code",great,
d04d5486-63d6-4600-af2b-20af8d4b122f,Visit Tokyo,Travel,Future,23-03-2027,23-03-2026,travel;cherry blossom,Info=|City=Tokyo|Country=Japan,"Plan to visit Tokyo Japan next year in spring, cherry blossom season must see",exciting,
a189bf42-60fb-4346-98f1-68394483132d,El RincA3n,Restaurant,Past,23-02-2026,23-03-2026,tapas;bar;spain;atmosphere,Info=|City=Barcelona|Country=Spain|Region=Catalonia,"Visited tapas bar ""El RincA3n"" in Barcelona, Spain last month - amazing atmosphere",amazing,
c29e2f43-3579-45af-9953-0326bb9fcb18,Dolomites Alta Via 1,Hiking Route,Future,1/6/2026,23-03-2026,summer;travel;italy;mountains;hiking,Info=|Country=Italy|Region=Trentino-Alto Adige,"Planning hiking trip ""Dolomites Alta Via 1"" in Italy next summer, 8 day mountain trek",exciting,
2ecb9937-cd2e-47b0-83b5-56e149280899,Noma,Restaurant,Future,23-04-2026,23-03-2026,anniversary;restaurant;copenhagen;fine dining,Info=|City=Copenhagen|Country=Denmark|Region=Capital Region,"Book restaurant Noma Copenhagen for anniversary dinner next month, world class cuisine",world class,
e83b5bb1-21b3-4f27-921a-3a9d415af062,The Brothers Karamazov,Book,Future,23-04-2026,23-03-2026,reading;classic;literature,Info=|City=Copenhagen|Country=Denmark|Region=Capital Region,"Want to read ""The Brothers Karamazov"" by Dostoevsky next month, long but worth it",worth it,
bc25a29c-0743-4821-af5e-abd35b14c52c,Oktoberfest Munich,Event,Future,1/9/2026,23-03-2026,September;Oktoberfest;Munich;friends,Info=|City=Munich|Country=Germany|Region=Bavaria,"Attend ""Oktoberfest Munich"" next September, going with university friends",exciting,
1d9549bc-521b-4f46-8724-985cc7db556c,Machu Picchu,Travel,Future,23-03-2027,23-03-2026,,Info=|City=Machu Picchu|Country=Peru,visit Machu Picchu Peru next year,bucket list destination,
bece0649-770d-4624-851d-31aebf34c6d7,Elbphilharmonie,Event,Future,23-04-2026,23-03-2026,concert;experience;world famous,Info=|City=Hamburg|Country=Germany|Region=Hamburg,"Book Elbphilharmonie Hamburg concert next month, world famous concert hall experience",world famous,
4e45854d-b20a-4e76-9f79-4888e91a5d29,Elbphilharmonie Hamburg concert,Event,Future,23-04-2026,23-03-2026,,Info=|City=Hamburg|Country=Germany|Region=Hamburg,"Book ""Elbphilharmonie Hamburg"" concert next month, world famous concert hall experience",wonderful,
